county,unemployment,med_income
13171,3.3,"55,933"
13173,3.4,"47,789"
13175,3.8,"47,905"
13177,2.9,"76,546"
13179,3.3,"50,696"
13181,3.5,"50,080"
13183,3.1,"55,601"
13185,3.3,"46,565"
13187,2.4,"64,077"
13189,4.4,"44,597"
13191,3.1,"47,651"
13193,4.2,"35,660"
13195,2.9,"56,526"
13197,3.5,"39,717"
13199,3.8,"46,799"
13201,2.6,"44,814"
13205,4.0,"42,539"
13207,2.8,"65,697"
13209,3.8,"47,618"
13211,2.7,"67,187"
13213,4.0,"53,297"
13215,4.1,"52,090"
13217,3.4,"71,366"
13219,2.3,"112,581"
13221,2.7,"57,215"
13223,2.6,"89,632"
13225,3.8,"54,921"
13227,2.6,"72,539"
13229,2.7,"51,688"
13231,2.7,"75,668"
13233,3.1,"49,061"
13235,3.3,"45,594"
13237,3.5,"55,826"
13239,4.9,"38,357"
13241,2.9,"58,463"
13243,4.4,"34,883"
13245,4.2,"47,816"
13247,3.5,"65,746"
13249,3.7,"53,369"
13251,4.3,"45,061"
13253,3.5,"41,917"
13255,3.3,"52,902"
13257,3.6,"47,909"
13259,3.6,"37,318"
13261,4.1,"39,008"
13263,3.7,"42,646"
13265,4.3,"40,045"
13267,3.0,"44,225"
13269,5.0,"41,030"
13271,5.7,"38,091"
13273,4.5,"40,549"
13275,3.5,"50,154"
13277,2.8,"48,717"
13279,3.8,"45,253"
13281,4.1,"51,810"
13283,3.9,"40,947"
13285,3.0,"49,557"
13287,4.1,"37,477"
13289,4.6,"47,382"
13291,2.6,"59,494"
13293,3.2,"47,140"
13295,3.0,"47,810"
13297,2.8,"73,839"
13299,3.0,"43,065"
13301,3.8,"40,361"
13303,3.9,"46,051"
13305,3.1,"46,314"
13307,3.7,"44,084"
13309,5.0,"35,664"
13311,2.4,"61,473"
13313,3.8,"56,973"
13315,3.7,"38,449"
13317,4.1,"42,567"
13319,3.3,"46,475"
13321,3.1,"48,943"
15000,3.5,"85,547"
15001,3.6,"67,896"
15003,3.5,"90,176"
15007,3.6,"76,719"
15009,3.5,"75,421"
16000,2.7,"66,318"
16001,2.3,"79,345"
16003,5.3,"51,829"
16005,2.7,"60,058"
16007,2.6,"60,265"
16009,4.2,"53,667"
16011,2.6,"63,576"
16013,2.5,"86,735"
16015,3.8,"71,545"
16017,3.6,"61,940"
16019,2.3,"69,880"
16021,3.8,"55,285"
16023,3.0,"52,221"
16025,2.8,"57,230"
16027,2.9,"64,301"
16029,2.8,"66,697"
16031,2.2,"63,356"
16033,3.6,"52,838"
16035,5.1,"53,344"
16037,3.2,"53,846"
16039,2.9,"51,436"
16041,2.2,"59,974"
16043,2.5,"58,878"
16045,2.9,"58,562"
16047,2.4,"59,174"
16049,3.8,"51,056"
16051,2.2,"75,957"
16053,2.5,"59,040"
16055,3.2,"68,043"
16057,2.5,"59,436"
16059,3.7,"57,499"
16061,3.9,"50,128"
16063,3.4,"57,111"
16065,1.8,"55,721"
16067,2.4,"61,010"
16069,2.6,"61,951"
16071,2.5,"60,769"
16073,3.2,"52,374"
16075,3.0,"58,885"
16077,2.8,"57,322"
16079,4.6,"47,699"
16081,2.1,"84,015"
16083,2.6,"57,487"
16085,3.7,"69,425"
16087,3.3,"51,067"
17000,4.6,"72,215"
17001,3.3,"59,777"
17003,6.3,"41,816"
17005,3.8,"57,287"
17007,6.4,"71,557"
17009,2.2,"51,294"
17011,4.4,"61,431"
17013,4.0,"63,586"
17015,3.8,"54,450"
17017,4.2,"60,961"
17019,3.8,"58,787"
17021,4.6,"52,500"
17023,4.2,"58,741"
17025,4.7,"51,042"
17027,3.0,"77,272"
17029,4.2,"47,693"
17031,5.0,"72,063"
17033,4.1,"59,128"
17035,3.4,"69,740"
17037,4.2,"67,081"
17039,4.0,"64,325"
17041,3.3,"65,447"
17043,3.6,"99,536"
17045,3.4,"56,772"
17047,4.4,"53,779"
17049,3.0,"69,988"
17051,4.3,"52,610"
17053,4.0,"57,483"
17055,5.2,"49,510"
17057,4.8,"50,978"
17059,5.0,"48,424"
17061,4.1,"53,394"
17063,4.9,"83,254"
17065,3.4,"55,409"
17067,3.9,"56,700"
17069,5.1,"47,144"
17071,4.0,"59,415"
17073,4.2,"62,683"
17075,4.5,"60,736"
17077,4.2,"43,334"
17079,3.7,"59,069"
17081,4.6,"53,294"
17083,3.5,"68,675"
17085,3.7,"67,839"
17087,5.4,"57,073"
17089,4.5,"90,941"
17091,5.3,"63,880"
17093,4.0,"100,483"
17095,5.2,"47,559"
17097,4.2,"95,895"
17099,4.9,"64,447"
17101,5.6,"46,525"
17103,4.0,"60,542"
17105,4.0,"61,569"
17107,4.2,"58,939"
17109,4.1,"53,024"
17111,4.0,"92,522"
17113,3.5,"71,309"
17115,5.5,"48,245"
17117,3.7,"57,755"
17119,3.7,"65,886"
17121,4.6,"55,292"
17123,4.6,"64,132"
17125,4.5,"58,828"
17127,4.8,"52,680"
17129,3.6,"75,687"
17131,4.1,"64,731"
17133,2.8,"93,054"
17135,4.6,"59,116"
17137,4.0,"54,644"
17139,3.2,"69,652"
17141,4.8,"74,472"
17143,5.0,"56,460"
17145,4.9,"53,071"
17147,3.4,"81,583"
17149,4.2,"54,474"
17151,4.5,"50,404"
17153,6.9,"42,738"
17155,4.7,"74,798"
17157,3.6,"58,694"
17159,3.7,"56,852"
17161,4.3,"58,171"
17163,4.3,"66,422"
17165,5.0,"50,914"
17167,4.1,"68,476"
17169,4.1,"57,839"
17171,4.8,"63,510"
17173,4.1,"55,725"
17175,4.9,"58,265"
17177,4.5,"56,263"
17179,4.1,"65,427"
17181,5.1,"52,384"
17183,5.0,"49,825"
17185,3.3,"56,183"
17187,3.9,"61,734"
17189,2.4,"66,746"
17191,3.9,"51,669"
17193,3.9,"50,653"
17195,4.0,"56,805"
17197,4.6,"93,994"
17199,4.3,"55,447"
17201,5.8,"57,113"
17203,3.4,"85,085"
18000,3.0,"62,723"
18001,2.2,"62,282"
18003,2.9,"62,680"
18005,2.4,"72,458"
18007,2.4,"60,738"
18009,3.5,"47,553"
18011,2.0,"98,047"
18013,3.3,"66,839"
18015,2.9,"57,019"
18017,3.2,"53,813"
18019,2.7,"62,822"
18021,3.3,"64,245"
18023,2.5,"60,609"
18025,3.5,"52,031"
18027,2.3,"59,888"
18029,2.6,"73,150"
18031,2.6,"64,871"
18033,2.6,"65,059"
18035,3.5,"50,533"
18037,2.2,"67,615"
18039,2.5,"62,233"
18041,4.4,"50,642"
18043,2.5,"67,330"
18045,2.8,"55,195"
18047,2.7,"61,261"
18049,3.0,"57,400"
18051,2.2,"60,592"
18053,3.3,"50,248"
18055,3.8,"55,504"
18057,2.1,"108,203"
18059,2.6,"80,326"
18061,2.5,"66,989"
18063,2.4,"90,298"
18065,3.2,"52,994"
18067,5.0,"56,268"
18069,2.6,"55,546"
18071,2.7,"61,943"
18073,3.3,"74,336"
18075,2.7,"52,315"
18077,2.8,"59,333"
18079,3.3,"61,964"
18081,2.4,"79,914"
18083,2.7,"56,564"
18085,2.5,"66,525"
18087,2.2,"80,335"
18089,4.6,"61,468"
18091,3.7,"62,620"
18093,3.3,"52,557"
18095,3.3,"54,026"
18097,3.2,"58,737"
18099,2.6,"68,799"
18101,2.7,"61,520"
18103,4.1,"56,867"
18105,2.8,"53,166"
18107,2.5,"57,997"
18109,2.8,"69,203"
18111,3.6,"61,336"
18113,2.8,"65,979"
18115,2.2,"64,947"
18117,3.4,"52,910"
18119,3.2,"57,716"
18121,3.0,"55,683"
18123,3.1,"58,097"
18125,3.2,"52,093"
18127,3.3,"80,878"
18129,2.4,"74,102"
18131,2.6,"58,239"
18133,3.1,"61,223"
18135,3.0,"50,809"
18137,3.0,"65,893"
18139,2.5,"60,486"
18141,3.4,"59,325"
18143,3.4,"54,747"
18145,2.5,"64,528"
18147,2.6,"62,311"
18149,3.8,"57,994"
18151,2.2,"65,407"
18153,3.8,"47,606"
18155,2.8,"57,362"
18157,2.8,"55,192"
18159,2.8,"67,866"
18161,2.4,"65,572"
18163,3.0,"53,795"
18165,3.6,"53,540"
18167,3.5,"48,421"
18169,2.7,"62,193"
18171,2.6,"63,154"
18173,2.6,"83,005"
18175,2.7,"57,348"
18177,3.1,"50,569"
18179,2.3,"66,102"
18181,2.5,"62,151"
18183,2.4,"64,146"
19000,2.7,"65,645"
19001,2.1,"60,847"
19003,2.0,"54,403"
19005,3.8,"60,717"
19007,2.9,"51,222"
19009,2.3,"69,484"
19011,3.0,"78,155"
19013,2.9,"60,716"
19015,2.3,"69,888"
19017,2.3,"75,395"
19019,2.8,"64,503"
19021,2.3,"60,576"
19023,2.8,"65,284"
19025,2.5,"59,643"
19027,2.0,"65,598"
19029,2.5,"55,909"
19031,2.6,"75,894"
19033,2.8,"55,465"
19035,2.3,"64,286"
19037,2.5,"67,667"
19039,2.9,"58,483"
19041,2.7,"60,162"
19043,3.8,"56,076"
19045,3.5,"60,528"
19047,4.0,"58,874"
19049,2.0,"94,467"
19051,2.4,"75,730"
19053,2.5,"48,666"
19055,2.3,"69,767"
