county,total,white,black,native,asian,other
16017,47976,91.825,0.294,0.575,0.598,6.708
16019,124490,86.898,0.398,0.626,0.933,11.145
16021,12335,90.474,0.373,2.067,1.475,5.61
16023,2605,91.478,0,0.038,0,8.484
16025,1133,81.995,0,0,0,18.005
16027,235006,76.413,0.611,1.11,0.773,21.094
16029,7058,91.811,0,0.113,0.071,8.005
16031,24859,78.483,0.121,0.909,0.362,20.126
16033,756,62.698,0.529,0,0,36.772
16035,8810,90.829,0.216,1.226,0.863,6.867
16037,4344,89.802,0.138,0.806,0.023,9.231
16039,28752,76.116,2.351,1.614,2.995,16.924
16041,14376,92.341,0,0.466,0.25,6.942
16043,13519,90.547,0.325,1.354,0.052,7.722
16045,19250,86.696,0.114,0.286,0.27,12.634
16047,15520,78.138,0.097,2.358,0.303,19.104
16049,16787,92.31,0.089,3.121,0.518,3.961
16051,31383,89.325,0.108,0.813,0.236,9.518
16053,24474,72.865,0.029,0.65,0.392,26.064
16055,173396,89.661,0.292,0.925,0.724,8.397
16057,39872,89.659,1.219,0.702,2.029,6.39
16059,8043,92.689,0.012,0.385,0.162,6.751
16061,3630,82.259,1.846,2.755,0.964,12.176
16063,5203,77.993,0.48,2.479,0.384,18.662
16065,52487,89.077,0.928,0.301,1.808,7.886
16067,21626,76.339,0.097,1.369,0.139,22.057
16069,42200,88.751,0.104,4.983,0.886,5.275
16071,4572,93.679,0,0.678,0,5.643
16073,12043,74.184,0.374,3.562,0.133,21.747
16075,25571,83.016,0.078,0.876,0.786,15.244
16077,7918,71.167,0.038,3.296,0,25.499
16079,13399,91.186,0.858,1.806,0.03,6.12
16081,11813,83.899,0,1.312,0,14.789
16083,90592,83.444,0.545,0.517,1.577,13.916
16085,11830,97.861,0.059,0.008,0.051,2.02
16087,10612,84.555,0.188,0.32,0.132,14.804
17001,65583,91.457,3.931,0.061,0.743,3.809
17003,5261,63.486,33.226,0,0.247,3.041
17005,16750,88.704,7.134,0.812,0.46,2.89
17007,53459,79.349,2.589,0.269,0.939,16.854
17009,6334,78.244,16.625,0.505,0.047,4.578
17011,33203,90.404,0.614,0.06,0.919,8.002
17013,4472,95.148,0.738,0.246,0.022,3.846
17015,15594,91.458,3.418,0.263,0.661,4.2
17017,12955,82.161,3.605,0.919,0.756,12.559
17019,206525,68.341,13.203,0.122,10.988,7.346
17021,33893,94.258,2.623,0.139,0.685,2.295
17023,15467,96.172,0.834,0.045,0.181,2.767
17025,13248,95.471,0.46,0.551,0.317,3.2
17027,36998,91.897,2.976,0.041,0.608,4.479
17029,47076,91.463,3.613,0.064,1.064,3.796
17031,5225367,49.39,22.761,0.605,7.705,19.539
17033,18729,92.076,4.512,0.79,0.352,2.269
17035,10447,96.229,0.115,0,0.077,3.58
17037,100686,79.228,7.681,0.415,2.407,10.268
17039,15535,95.204,0.914,0.315,0.193,3.373
17041,19714,92.356,1.233,0.365,0.588,5.458
17043,930559,70.005,4.903,0.295,12.554,12.243
17045,16852,96.677,0.671,0.036,0.392,2.225
17047,6182,96.15,0.129,0.599,0.421,2.701
17049,34594,96.56,0.648,0.049,0.679,2.064
17051,21464,90.216,3.457,0.443,0.466,5.418
17053,13484,91.872,0.705,0.141,0.667,6.615
17055,37810,95.551,0.407,0.063,0.262,3.716
17057,33691,93.227,2.677,0.662,0.306,3.128
17059,4967,94.081,0.302,0.423,0.121,5.073
17061,12015,96.704,0.874,0.083,0.208,2.131
17063,52624,90.63,1.813,0.097,0.597,6.864
17065,8008,96.166,0.1,0.162,0.425,3.147
17067,17582,95.837,0.722,0.108,0.319,3.014
17069,3665,97.817,1.091,0,0,1.091
17071,6374,95.513,0.173,0.031,0,4.283
17073,49157,90.101,2.195,0.022,0.466,7.216
17075,27043,90.63,1.006,0.089,0.274,8.002
17077,53176,74.122,14.52,0.128,3.639,7.592
17079,9295,96.503,0.237,0,0.129,3.131
17081,37043,85.493,6.495,0.238,1.064,6.711
17083,21462,95.834,0.704,0,0.592,2.87
17085,21942,94.786,0.798,0.15,0.57,3.696
17087,13313,82.896,8.848,0,0.315,7.94
17089,517254,66.073,5.22,0.842,3.922,23.942
17091,107421,75.604,14.535,0.467,0.97,8.423
17093,132795,73.58,8.048,0.27,2.98,15.121
